ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000240;TRONCHET;FAMILLE POISSART;AU BONHEUR DES DRAMES;;12.04;11.44;HUMOUR;6051684;ALBIN MICHEL;9782226074577;HACHETTE;;;
BD000241;TRONCHET;FAMILLE POISSART;LES ROIS DU RIRE;;12.04;11.44;HUMOUR;6051981;ALBIN MICHEL;9782226085160;HACHETTE;;;
BD000242;VARENNE;;CARRE NOIR SUR DAMES BLANCHES;;8.69;8.26;EROTIQUE;6004717;ALBIN MICHEL;9782226020208;HACHETTE;;;
BD000243;VARENNE;;EROTIC OPERA;;8.69;8.26;EROTIQUE;6050983;ALBIN MICHEL;9782226025739;HACHETTE;;;
BD000244;VARENNE;;AMOURS FOUS;;10.52;9.99;EROTIQUE;6051312;ALBIN MICHEL;9782226051561;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000245;GILLON;LES LEVIATHANS;LE PLAN ASPIC - T1;;10.52;9.99;;6055305;ALBIN MICHEL;9782226113740;HACHETTE;;;
BD000246;VARENNE;LOLA;LOLA;;10.52;9.99;EROTIQUE;6051619;ALBIN MICHEL;9782226065605;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000247;VARENNE;;LA CORRECTION;;19.82;18.83;EROTIQUE;207056;ALBIN MICHEL;9782226092803;HACHETTE;;;
BD000248;VARENNE;;CARLOTTA;;13.57;12.89;EROTIQUE;6052419;ALBIN MICHEL;9782226105066;HACHETTE;;;
BD000249;VARENNE;ERMA JAGUAR;ERMA JAGUAR - T1;;9.91;9.41;EROTIQUE;6051106;ALBIN MICHEL;9782226031594;HACHETTE;Madone des autoroutes, nouvelle Diane chasseresse, personne n'est à l'abri de cette séductrice errante...;;
BD000250;VARENNE;ERMA JAGUAR;LES NOCES D'ERMA - T2;;9.91;9.41;EROTIQUE;6051205;ALBIN MICHEL;9782226037404;HACHETTE;Celui qui épousera Erma n'est pas au bout de ses peines... Ni de ses surprises...;;
BD000251;VARENNE;ERMA JAGUAR;LES CAPRICES D'ERMA - T3;;10.52;9.99;EROTIQUE;6051445;ALBIN MICHEL;9782226056849;HACHETTE;Quand Erma réinvente le code amoureux...;;
BD000252;VARENNE / DANIEL;ARDEUR;ARDEUR - T1;;9.91;9.41;AVENTURE;6003313;ALBIN MICHEL;9782226017499;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000253;VARENNE / DANIEL;ARDEUR;WARSCHAU - T2;;9.91;9.41;AVENTURE;101359;ALBIN MICHEL;9782226011060;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000254;VARENNE / DANIEL;ARDEUR;LA GRANDE FUGUE - T3;;9.91;9.41;AVENTURE;101358;ALBIN MICHEL;9782226013088;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000255;VARENNE / DANIEL;ARDEUR;BERLIN STRASSE - T4;;7.93;7.1;AVENTURE;106552;ALBIN MICHEL;9782226016515;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000256;VARENNE / DANIEL;ARDEUR;IDA MAUZ - T5;;8.69;8.26;AVENTURE;108769;ALBIN MICHEL;9782226018724;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000257;VARENNE / DANIEL;ARDEUR;JACK LE VENGEUR - T6;;8.69;8.26;AVENTURE;116684;ALBIN MICHEL;9782226027320;HACHETTE;Alex VARENNE vous emmène dans ses fantasmes...;;
BD000258;VEYRON;;L'AMOUR PROPRE;;12.04;11.44;HUMOUR;6003818;ALBIN MICHEL;9782226018090;HACHETTE;;;
BD000259;VEYRON;;EXECUTIVE WOMAN;;12.04;11.44;HUMOUR;6050884;ALBIN MICHEL;9782226025852;HACHETTE;;;
BD000260;VEYRON;;VITE;;8.99;8.54;HUMOUR;6017214;ALBIN MICHEL;9782226031662;HACHETTE;;;
BD000261;VEYRON;;DONC JEAN;;10.52;9.99;HUMOUR;6051296;ALBIN MICHEL;9782226048783;HACHETTE;;;
BD000262;VEYRON;;JIVARA;;11.43;10.86;HUMOUR;6051486;ALBIN MICHEL;9782226059147;HACHETTE;;;
BD000263;VEYRON;;CRU BOURGEOIS;;12.04;11.44;HUMOUR;6052450;ALBIN MICHEL;9782226105547;HACHETTE;;;
BD000264;VEYRON;BERNARD LERMITE;BERNARD LERMITE - T1;;8.69;8.26;HUMOUR;6002265;ALBIN MICHEL;9782226014719;HACHETTE;;;
BD000265;VEYRON;BERNARD LERMITE;PLUS LOURD QUE L'AIR - T2;;8.69;8.26;HUMOUR;6013221;ALBIN MICHEL;9782226014726;HACHETTE;;;
BD000266;VEYRON;BERNARD LERMITE;PERSONNELLEMENT JE VEUX PAS D'ENFANTS - T3;;8.99;8.54;HUMOUR;6002273;ALBIN MICHEL;9782226014740;HACHETTE;;;
BD000267;VEYRON;BERNARD LERMITE;L'ETERNEL FEMININ DURE - T4;;8.99;8.54;HUMOUR;6013213;ALBIN MICHEL;9782226014733;HACHETTE;;;
BD000268;VEYRON;BERNARD LERMITE;CE N'EST PLUS LE PEUPLE QUI GRONDE MAIS LE PUBLIC QUI REAGIT - T5;;8.99;8.54;HUMOUR;6018709;ALBIN MICHEL;9782226032959;HACHETTE;;;
BD000269;VEYRON;BERNARD LERMITE;PEUT ON FUMER APRES LA MORT - T6;;8.99;8.54;HUMOUR;6051114;ALBIN MICHEL;9782226032942;HACHETTE;;;
BD000270;VEYRON;BERNARD LERMITE;LE PAGURE EST CONNU - TOME 7;;10.52;9.99;HUMOUR;6051551;ALBIN MICHEL;9782226061829;HACHETTE;;;
BD000271;VEYRON / ROCHETTE;EDMOND LE COCHON;EDMOND LE COCHON VA EN AFRIQUE;;6.86;6.52;HUMOUR;6002604;ALBIN MICHEL;9782226014757;HACHETTE;;;
BD000272;WOLINSKI / DE TURQUEIM;;BREVES SUCREES SALEES DE SALON DE THE;;12.04;11.44;HUMOUR;6056477;ALBIN MICHEL;9782226109439;HACHETTE;;;
BD000273;CAROLL / ROMANO;ALICE;LES AVENTURES D'ALICE AU PAYS DU MERVEILLEUX AILLEURS;;25.15;23.89;;5345129;AU BORD DES CONTINENTS;9782911684173;HACHETTE;;;
BD000274;VEYRON / ROCHETTE;EDMOND LE COCHON;LE MYSTERE CONTINENTAL;;8.99;8.54;HUMOUR;6051569;ALBIN MICHEL;9782226061898;HACHETTE;;;
BD000275;VOLINE / ROTUNDO;;PEAU DE CHAGRIN;;11.89;11.3;HUMOUR;225938;ALBIN MICHEL;9782226095343;HACHETTE;;;
BD000276;VUILLEMIN;;TRAGIQUES DESTINS;;8.99;8.54;HUMOUR;6005839;ALBIN MICHEL;9782226022820;HACHETTE;;;
BD000277;VUILLEMIN;;LE MEILLEUR DE MOI MEME;;14.48;13.76;HUMOUR;6018444;ALBIN MICHEL;9782226032928;HACHETTE;;;
BD000278;VUILLEMIN;;PLAISIR D'OFFRIR;;10.52;9.99;HUMOUR;6051262;ALBIN MICHEL;9782226039804;HACHETTE;;;
BD000279;VUILLEMIN;;LE MONDE MERVEILLEUX DE VUILLEMIN;;12.04;11.44;HUMOUR;6051841;ALBIN MICHEL;9782226078308;HACHETTE;;;
BD000280;VUILLEMIN;;TOUT EST DANS LE SOURIRE;;10.52;9.99;HUMOUR;6052096;ALBIN MICHEL;9782226093707;HACHETTE;;;
BD000281;VUILLEMIN;;LES CHEFS D'OEUVRE DE VUILLEMIN;;19.67;18.68;HUMOUR;6052229;ALBIN MICHEL;9782226095350;HACHETTE;;;
BD000282;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T1;;8.99;8.54;HUMOUR;6050991;ALBIN MICHEL;9782226027368;HACHETTE;;;
BD000283;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T2;;8.99;8.54;HUMOUR;6051189;ALBIN MICHEL;9782226037282;HACHETTE;;;
BD000284;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T3;;8.99;8.54;HUMOUR;6051320;ALBIN MICHEL;9782226051578;HACHETTE;;;
BD000285;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T4;;8.99;8.54;HUMOUR;6051536;ALBIN MICHEL;9782226061775;HACHETTE;;;
BD000286;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T5;;8.99;8.54;HUMOUR;6051783;ALBIN MICHEL;9782226077417;HACHETTE;;;
BD000287;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T6;;8.99;8.54;HUMOUR;6052005;ALBIN MICHEL;9782226088475;HACHETTE;;;
BD000288;VUILLEMIN;LES SALES BLAGUES DE L'ECHO;LES SALES BLAGUES DE L'ECHO - T7;;8.99;8.54;HUMOUR;6052351;ALBIN MICHEL;9782226104441;HACHETTE;;;
BD000289;VUILLEMIN / BERROYER;RAOUL TEIGNEUX;RAOUL TEIGNEUX CONTRE LES DRUZES;;8.99;8.54;HUMOUR;6018220;ALBIN MICHEL;9782226031617;HACHETTE;;;
BD000290;WERBER;EXIT;EXIT - T1;;8.99;8.54;HUMOUR;6052567;ALBIN MICHEL;9782226104519;HACHETTE;;;
BD000291;WILLEM;TOUT VA BIEN;TOUT VA BIEN 200 DESSINS SUPER POSITIFS;;14.94;14.19;HUMOUR;6038079;ALBIN MICHEL;9782226089014;HACHETTE;;;
BD000292;WOLINSKI;;LA BAGUE AU DOIGT;;9.91;9.41;HUMOUR;6001671;ALBIN MICHEL;9782226014344;HACHETTE;;;
BD000293;WOLINSKI;;LES SOCIALOS;;13.57;12.89;HUMOUR;6023535;ALBIN MICHEL;9782226053275;HACHETTE;;;
BD000294;WOLINSKI;;VOUS EN ETES ENCORE LA VOUS;;12.04;11.44;HUMOUR;6051510;ALBIN MICHEL;9782226060006;HACHETTE;;;
BD000295;WOLINSKI;;LE BAL DES RINGARDS;;14.48;13.76;HUMOUR;6051601;ALBIN MICHEL;9782226063755;HACHETTE;;;
BD000296;WOLINSKI;;DIS MOI QUE TU M'AIMES;;12.04;11.44;HUMOUR;;ALBIN MICHEL;;HACHETTE;;;
BD000297;WOLINSKI;SCOOPETTE;SCOOPETTE LA NYMPHO DE L'INFO;;10.52;9.99;HUMOUR;6052708;ALBIN MICHEL;9782226069108;HACHETTE;;;
BD000298;WOLINSKI;;ENFIN DES VRAIS HOMMES;;10.52;9.99;HUMOUR;6051726;ALBIN MICHEL;9782226075611;HACHETTE;;;
BD000299;WOLINSKI;;NOUS SOMMES EN TRAIN DE NOUS EN SORTIR;;12.04;11.44;HUMOUR;6051791;ALBIN MICHEL;9782226077424;HACHETTE;;;
BD000300;WOLINSKI;;IL N'Y A PLUS DE VALEURS;;10.52;9.99;HUMOUR;6051882;ALBIN MICHEL;9782226079480;HACHETTE;;;
BD000301;WOLINSKI;;SACRE MITTERAND;;13.57;12.89;HUMOUR;6035950;ALBIN MICHEL;9782226085962;HACHETTE;;;
BD000302;WOLINSKI;;CAUSE TOUJOURS;;13.57;12.89;HUMOUR;6052070;ALBIN MICHEL;9782226085047;HACHETTE;;;
BD000303;WOLINSKI;;FAIS MOI PLAISIR;;10.52;9.99;HUMOUR;6052153;ALBIN MICHEL;9782226094667;HACHETTE;;;
BD000304;WOLINSKI;MONSIEUR PAUL;MONSIEUR PAUL A CUBA;;10.52;9.99;HUMOUR;6052286;ALBIN MICHEL;9782226099532;HACHETTE;;;
BD000305;WOLINSKI;;TROP BEAU POUR ETRE VRAI;;10.52;9.99;HUMOUR;6052344;ALBIN MICHEL;9782226106285;HACHETTE;;;
BD000306;WOLINSKI;;SALES GOSSES;;12.04;11.44;HUMOUR;6052583;ALBIN MICHEL;9782226107435;HACHETTE;;;
BD000307;WOLINSKI / PICHARD;PAULETTE;TOUT PAULETTE;;29.73;28.24;HUMOUR;6052468;ALBIN MICHEL;9782226105561;HACHETTE;;;
BD000308;YANN / BODART;NICOTINE;NICOTINE GOUDRON - T1;;10.52;9.99;HUMOUR;127583;ALBIN MICHEL;9782226039835;HACHETTE;;;
BD000309;YANN / BODART;NICOTINE;L'INCURABLE NICOTINE - T2;;8.99;8.54;HUMOUR;131886;ALBIN MICHEL;9782226056764;HACHETTE;;;
BD000310;WETZ;SELEN;GIRLS GIRLS GIRLS - Rupture Editeur;;;;EROTIQUE;;VENTS D'OUEST;;HACHETTE;Les pin-up, ces filles de papier n'ont d'autre destinée que de satisfaire le plaisir de nos yeux. Celles de cet album sont exhibitionnistes, et provocantes, et WETZ nous les offre ensorcelantes...;11.89;11.3
BD000311;HARUKA;OGENKI CLINIC;OGENKI CLINIC - T2;;10.52;9.99;MANGA EROTIQUE;6051957;ALBIN MICHEL;9782226088635;HACHETTE;;;
BD000312;LALIA;LOVECRAFT;LE GRIMOIRE MAUDIT - T1;;14.94;14.19;FANTASTIQUE;6052484;ALBIN MICHEL;9782226105523;HACHETTE;;;
BD000313;BUCHE / PERISSIN;HELENE CARTIER;A LA POURSUITE DU PRINCE CHARMANT - T1;;8.99;8.54;;4345005;ALPEN PUBLISHERS;9782731607819;HACHETTE;Hélène Cartier a deux maris. Le premier, aviateur, a disparu aux Indes. Le second, jaloux, part à la recherche du premier. Hélène suit ses deux époux au bout du monde, d'aventures excentriques en périéties extravagantes.;;
BD000314;BUCHE / PERISSIN;HELENE CARTIER;LA RIVIERE DU GRAND RETOUR - T2;;8.99;8.54;;4345013;ALPEN PUBLISHERS;9782731610574;HACHETTE;Hélène Cartier a deux maris. Le premier, aviateur, a disparu aux Indes. Le second, jaloux, part à la recherche du premier. Hélène suit ses deux époux au bout du monde, d'aventures excentriques en périéties extravagantes.;;
BD000315;CONSTANT / LAPIERE;MAURO CALDI;MILLE MIGLIA - T1;;8.99;8.54;;4345021;ALPEN PUBLISHERS;9782883020306;HACHETTE;Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.;;
BD000316;CONSTANT / LAPIERE;MAURO CALDI;CINE CITTA - T2;;8.99;8.54;;4345039;ALPEN PUBLISHERS;9782883020313;HACHETTE;Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.;;
BD000317;CONSTANT / LAPIERE;MAURO CALDI;LA VOLEUSE - T3;;8.99;8.54;;4345047;ALPEN PUBLISHERS;9782883020320;HACHETTE;Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.;;
BD000318;CONSTANT / LAPIERE;MAURO CALDI;LA BAIE DES MENTEURS - T4;;8.99;8.54;;4345054;ALPEN PUBLISHERS;9782731609097;HACHETTE;Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.;;
BD000319;CONSTANT / LAPIERE;MAURO CALDI;LA GUERRE DES FAMILLES - T5;;8.99;8.54;;4345062;ALPEN PUBLISHERS;9782731610154;HACHETTE;Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.;;
BD000320;CONSTANT / LAPIERE;MAURO CALDI;LES VOLEURS DE FERRARI - T6;;8.99;8.54;;4345070;ALPEN PUBLISHERS;9782731610727;HACHETTE;Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.;;
BD000321;DERIB / JOB;PYTHAGORE;ECHEC A BRAZERRO - T1;;8.99;8.54;;4345088;ALPEN PUBLISHERS;9782883020023;HACHETTE;Drôle d'oiseau, ce Pythagore, féru d'arithmétique et d'alcools forts. Ami fidèle, il assiste ses copains humains dans leurs périples à travers le monde. Par les auteurs de Yakari, la célèbre série pour enfants.;;
BD000322;DERIB / JOB;PYTHAGORE;OPERATION RHINO - T2;;8.99;8.54;;4345096;ALPEN PUBLISHERS;9782883020139;HACHETTE;Drôle d'oiseau, ce Pythagore, féru d'arithmétique et d'alcools forts. Ami fidèle, il assiste ses copains humains dans leurs périples à travers le monde. Par les auteurs de Yakari, la célèbre série pour enfants.;;
BD000323;DERIB / JOB;PYTHAGORE;LES GEANTS DE LA TOUNDRA - T3;;8.99;8.54;;4345104;ALPEN PUBLISHERS;9782883020146;HACHETTE;Drôle d'oiseau, ce Pythagore, féru d'arithmétique et d'alcools forts. Ami fidèle, il assiste ses copains humains dans leurs périples à travers le monde. Par les auteurs de Yakari, la célèbre série pour enfants.;;
BD000324;MARINI / MARELLE / SMOLDEREN / POP;OLIVIER VARESE;LA COLOMBE DE LA PLACE ROUGE - T1 - Arrêt de Commercialisation;;;;;4345112;ALPEN PUBLISHERS;9782883020047;HACHETTE;Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.;8.99;8.54
BD000325;MARINI / MARELLE / SMOLDEREN / POP;OLIVIER VARESE;BIENVENUE A KOKONINOWORLD - T2 - Arrêt de Commercialisation;;;;;4345138;ALPEN PUBLISHERS;9782731608236;HACHETTE;Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.;8.99;8.54
BD000326;MARINI / MARELLE / SMOLDEREN / POP;OLIVIER VARESE;RAID SUR KOKONINOWORLD - T3 - Arrêt de Commercialisation;;;;;4345146;ALPEN PUBLISHERS;9782731610130;HACHETTE;Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.;8.99;8.54
BD000327;MARINI / MARELLE / SMOLDEREN / POP;OLIVIER VARESE;LE PARFUM DU MAGNOLIA - T4 - Arrêt de Commercialisation;;;;;4345120;ALPEN PUBLISHERS;9782731610796;HACHETTE;Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.;8.99;8.54
BD000328;SAVARD / FOREST;LEONID BEAUDRAGON;LE FANTOME DU MANDCHOU FOU - T1;;8.99;8.54;;4345153;ALPEN PUBLISHERS;9782883020238;HACHETTE;Le dessinateur de Barbarella, Jean-Claude FOREST, a beaucoup écrit pour les autres. Ses scénarios sont une fête de malice, d'invention et d'intelligence. Parfaitement servis par le graphisme précis de SAVARD, ceux de Léonid Beaudragon, détective farfelu, ne dérogent pas à la règle.;;
BD000329;SAVARD / FOREST;LEONID BEAUDRAGON;LA NUIT DES TOTEMS - T2 - Arrêt de commercialisation;;;;;4345161;ALPEN PUBLISHERS;9782883020054;HACHETTE;Le dessinateur de Barbarella, Jean-Claude FOREST, a beaucoup écrit pour les autres. Ses scénarios sont une fête de malice, d'invention et d'intelligence. Parfaitement servis par le graphisme précis de SAVARD, ceux de Léonid Beaudragon, détective farfelu, ne dérogent pas à la règle.;8.99;8.54
BD000330;SAVARD / FOREST;LEONID BEAUDRAGON;LE SCAPHANDRIER DU LUNDI - T3 - Arrêt de commercialisation;;;;;4345179;ALPEN PUBLISHERS;9782731609554;HACHETTE;Le dessinateur de Barbarella, Jean-Claude FOREST, a beaucoup écrit pour les autres. Ses scénarios sont une fête de malice, d'invention et d'intelligence. Parfaitement servis par le graphisme précis de SAVARD, ceux de Léonid Beaudragon, détective farfelu, ne dérogent pas à la règle.;8.99;8.54
BD000331;STANISLAS / RULLIER;VICTOR LEVALLOIS;TRAFIC EN INDOCHINE - T1;;8.99;8.54;;4345187;ALPEN PUBLISHERS;9782731608120;HACHETTE;Victor Levallois n'a pas la tête de l'emploi. Avec ses airs de premier de la classe, il se retrouve pourtant plongé dans un tourbillon d'aventures périlleuses, dans l'Indochine française ou le trouble Paris de l'après-guerre.;;
BD000332;STANISLAS / RULLIER;VICTOR LEVALLOIS;LA ROUTE DE CAO BANG - T2;;8.99;8.54;;4345195;ALPEN PUBLISHERS;9782731609462;HACHETTE;Victor Levallois n'a pas la tête de l'emploi. Avec ses airs de premier de la classe, il se retrouve pourtant plongé dans un tourbillon d'aventures périlleuses, dans l'Indochine française ou le trouble Paris de l'après-guerre.;;
BD000333;STANISLAS / RULLIER;VICTOR LEVALLOIS;LE MANCHOT DE LA BUTTE ROUGE - T3;;8.99;8.54;;4345203;ALPEN PUBLISHERS;9782731611274;HACHETTE;Victor Levallois n'a pas la tête de l'emploi. Avec ses airs de premier de la classe, il se retrouve pourtant plongé dans un tourbillon d'aventures périlleuses, dans l'Indochine française ou le trouble Paris de l'après-guerre.;;
BD000334;SWOLFS;DURANGO;LES CHIENS MEURENT EN HIVER - T1;;9.45;8.98;;4345310;HUMANOIDES ASSOCIES;9782731609714;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000335;SWOLFS;DURANGO;LES FORCES DE LA COLERE - T2;;9.45;8.98;;4345328;HUMANOIDES ASSOCIES;9782731609721;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000336;SWOLFS;DURANGO;PIEGE POUR UN TUEUR - T3;;9.45;8.98;;4345336;HUMANOIDES ASSOCIES;9782731609738;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000337;SWOLFS;DURANGO;AMOS - T4;;9.45;8.98;;4345211;HUMANOIDES ASSOCIES;9782731609745;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000338;SWOLFS;DURANGO;SIERRA SAUVAGE - T5;;9.45;8.98;;4345229;HUMANOIDES ASSOCIES;9782731609752;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000339;SWOLFS;DURANGO;LE DESTIN D'UN DESPERADO - T6;;9.45;8.98;;4345237;HUMANOIDES ASSOCIES;9782731609769;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000340;SWOLFS;DURANGO;LONEVILLE - T7;;9.45;8.98;;4345245;HUMANOIDES ASSOCIES;9782731607772;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000341;SWOLFS;DURANGO;UNE RAISON POUR MOURIR - T8;;9.45;8.98;;4345252;ALPEN PUBLISHERS;9782731609783;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000342;SWOLFS;DURANGO;L'OR DE DUNCAN - T9;;9.45;8.98;;4345260;ALPEN PUBLISHERS;9782731609790;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000343;SWOLFS;DURANGO;LA PROIE DES CHACALS - T10;;9.45;8.98;;4345278;ALPEN PUBLISHERS;9782731609806;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000344;SWOLFS;DURANGO;COLORADO - T11;;9.45;8.98;;4345286;ALPEN PUBLISHERS;9782731610505;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000345;SWOLFS;DURANGO;L'HERITIERE - T12;;9.45;8.98;;4345294;ALPEN PUBLISHERS;9782731610970;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000346;SWOLFS;DURANGO;SANS PITIE - T13;;9.45;8.98;;4348090;ALPEN PUBLISHERS;9782731612721;HACHETTE;Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.;;
BD000347;KALONJI;HELVETIKA;HELVETIKA - T1;;10.52;9.99;;5349162;PAQUET;9782940199198;HACHETTE;;;
BD000348;TURK / DE GROOT;LEONARD;HORS SERIE 20 ANS DE GENIE;;8.69;8.26;HUMOUR;01621NE;DARGAUD;9782884250061;MDS;;;
BD000349;TURK / DE GROOT;LEONARD;FLAGRANT GENIE - T19;;8.69;8.26;HUMOUR;01640NE;DARGAUD;9782884250009;MDS;;;
BD000350;TURK / DE GROOT;LEONARD;CIEL MON GENIE - T20;;8.69;8.26;HUMOUR;01641NE;DARGAUD;9782884250016;MDS;;;
BD000351;TURK / DE GROOT;LEONARD;UN AIR DE GENIE - T21;;8.69;8.26;HUMOUR;01642NE;DARGAUD;9782884250023;MDS;;;
BD000352;TURK / DE GROOT;LEONARD;CADEAU DE GENIE - T22;;8.69;8.26;HUMOUR;01643NE;DARGAUD;9782884250030;MDS;;;
BD000353;TURK / DE GROOT;LEONARD;POIL AU GENIE - T23;;8.69;8.26;HUMOUR;01644NE;DARGAUD;9782884250047;MDS;;;
BD000354;TURK / DE GROOT;LEONARD;TEMPS DE GENIE - T24;;8.69;8.26;HUMOUR;01645NE;DARGAUD;9782884250054;MDS;;;
BD000355;TURK / DE GROOT;LEONARD;D'OU VIENS TU GENIE - T25;;8.69;8.26;HUMOUR;01646NE;DARGAUD;9782884250078;MDS;;;
BD000356;TURK / DE GROOT;LEONARD;GENIE OR NOT GENIE - T26;;8.69;8.26;HUMOUR;01647NE;DARGAUD;9782884250092;MDS;;;
BD000357;TURK / DE GROOT;LEONARD;ON A MARCHE SUR LE GENIE - T27;;8.69;8.26;HUMOUR;1648;DARGAUD;9782884250115;MDS;;;
BD000358;TURK / DE GROOT;LEONARD;GENIE TOUJOURS PRÊT - T28;;8.69;8.26;HUMOUR;1649;DARGAUD;9782884250122;MDS;;;
BD000359;ACHDE;LES DAMNES DE LA ROUTE;ON ACHEVE BIEN LES 2CV - T1;;8.99;8.54;HUMOUR;276167;BAMBOO;9782912715180;HAVAS;A son bord, la vie n'est pas une longue autoroute tranquille, et comme nous tous, la famille Lerbag en fait le constat tous les jours ! De parking en parcmètres, de garages en fourrières, de pannes en P.V, celle qui doit leur simplifier la route, leur pourrit l'existence.Du plaisir d'essence à l'enfer mécanique, bourres et déboires de nos héros de l'asphalte. P.S : le contrôle technique de cet album est O.K !;;
