ref	title	price_supplier	price	author	category	hero	editor	supplier	ref_editor	ref_supplier	synopsis
BD000011	ZELIE L'APPRENTIE SORCIERE	8.26	8.69	CHICAULT	JEUNESSE	ZELIE	DELCOURT	UNION DISTRIBUTION			
BD000012	UNE LECTURE DE TINTIN AU TIBET	19.99	21.04	FLOCH	AVENTURE	TINTIN	PUF	UNION DISTRIBUTION	PB2060	9782130488149	
BD000013	LE FILS D'ASTERIX	8.11	8.54	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030028	9782864970118	
BD000014	COFFRET LES TECHNOPERES - T1 A T3	37	38.95	JODOROWSKY / JANJETOV / BELTRAN		LES TECHNOPERES	HUMANOIDES ASSOCIES	HACHETTE	4349643		
BD000015	KITCHEN	11.59	12.2	YOSHIMOTO			GALLIMARD	SODIS	A731442	9782070731442	
BD000016	LEZARD	14.48	15.24	YOSHIMOTO			RIVAGES	LE SEUIL	37643		
BD000017	V COMME ENGEANCE	14.19	14.94	LOUSTAL			AUTREMENT	LE SEUIL	10063		
BD000018	ARRIERE SAISON	9.41	9.91	LOUSTAL			ALBIN MICHEL	HACHETTE			
BD000019	ASTERIX CHEZ RAHAZADE	8.11	8.54	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030036	9782864970200	
BD000020	SAD' CLUB - T1	18.29	18.29	SAINT MARC	ÉROTIQUE	SAD' CLUB	LA MUSARDINE	LA MUSARDINE	F913		Album illustré Grand Format - Textes à droite et dessins à gauche - Les fantasmes sado-masochistes d'un auteur disciple de Joseph Farel.
BD000021	HORS JEU	17.6	18.29	BILAL			AUTREMENT	LE SEUIL	9698		
BD000022	LOS ANGELES - VERSION NORMALE	17.6	18.29	BILAL			AUTREMENT	LE SEUIL	6949		
BD000023	LE SARCOPHAGE	12.31	12.96	BILAL / CHRISTIN		CORRESPONDANCES DE PIERRE CHRISTIN	DARGAUD	MDS	14517		
BD000024	YRAGAEL - T1	12.89	13.57	DRUILLET / DEMUTH		YRAGAEL	ALBIN MICHEL	HACHETTE	6055354	2226121137	Ceci est l'histoire de la chute du tout dernier empire sur terre, quand elle portait l'empreinte des Dieux créateurs qui assistèrent à l'éclosion de l'univers. Ceci concerne la cité de Sphardin, coeur desséché du royaume de Cèmèroon. la face de la terre qui abritait l'oeil du cosmos initial, dont le Vortex était la pupille, un puits de néant et d'étoiles ouvert sur le passé et le devenir. Ceci est le récit d'Yragaël, porteur de la vision, héritier du trône de Spharaïn et de sa lutte effrayante contre son frère fou, Saber d'Irismonde. Ceci est la ballade du plus fragile et terrifiant amour que jamais un mâle noble porta à une magicienne. Et ceci est aussi et surtout la complainte de la fin des hommes...
BD000025	LA ROSE ET LE GLAIVE	8.11	8.54	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030168	9782864970538	
BD000026	LA NUIT	12.89	13.57	DRUILLET			SEFAM	HACHETTE	6055362		
BD000027	PARIS DE FOUS	35.48	37.35	DRUILLET / DOISNEAU			DARGAUD	MDS	16680		
BD000028	NOSTALGIA IN TIME SQUARE	3.35	3.35	FERRANDEZ			FUTUROPOLIS	SODIS	9556593		
BD000029	CHEZ LES CHEIKHS	12.31	12.96	FERRANDEZ / CHRISTIN			DARGAUD	MDS	14511		A gauche, le désert des déserts, celui de Lawrence d'Arabie. A droite, une monstrueuse usine de déssalement des eaux. Devant, une femme-oiseau avec son masque scintillant. Derrière, des puits de pétrole plantés en pleine mer.<br><br>Voyage dans l'espace-temps aux Emirats Arabes Unis.
BD000030	LES ESCLAVES DE DUENA - T2	18.29	18.29	SAINT MARC	ÉROTIQUE	SAD' CLUB	LA MUSARDINE	LA MUSARDINE	F903		Album illustré Grand Format - Textes à droite et dessins à gauche - Les fantasmes sado-masochistes d'un auteur disciple de Joseph Farel.
BD000031	LA GALERE D'OBELIX	8.11	8.54	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030093	9782864970965	
BD000032	LA GALERE D'OBELIX - VERSION SEMI LUXE	17.6	18.29	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030606	9782864971122	
BD000033	ASTERIX ET LA SURPRISE DE CESAR	8.26	8.69	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030044	9782864970156	
BD000034	LE COUP DU MENHIR	7.68	8.08	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030051	9782864970491	
BD000035	ASTERIX ET LES INDIENS	7.68	8.08	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030507	9782864970842	
BD000036	COMMENT OBELIX EST TOMBE DANS LA MARMITE	6.81	7.17	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030069	9782864970392	Il fallait bien qu'un jour la vérité éclate. Qu'un jour enfin, l' Humanité sache le fin mot de ce mystère qui la tient en haleine depuis plus de deux mille ans. Car si l'on n'ignore pas qu' Obélix est tombé dans la marmite de potion magique quand il était petit, on ne sait pas comment. Eh bien ! L' heure est venue. Et dans la mesure où il porte sa part de responsabilité dans cette sombre affaire, nous avons demandé à Astérix de tout vous dire. Alors, fiat lux !
BD000037	UDERZO DE FLAMBERGE A ASTERIX	26.07	27.44	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030077	9782905336002	Plan de l'ouvrage : Le Temps des Réglisses 1927 à 1940 - Le Temps des Tickets 1940 à 1945 - Le Temps des Essais 1945 à 1959 - Le Temps de Pilote 1959 à 1961 - L'Ere d'Astérix 1961
BD000038	OUMPAH PAH LE PEAU ROUGE - T1	8.54	8.99	GOSCINNY / UDERZO	HUMOUR	OUMPAH PAH	ALBERT RENÉ	HACHETTE	5030564	9782864970934	Né en 1951 de l'imagination délirante de René Goscinny et d'Albert Uderzo, Oumpah Pah et son complice Hubert de la Pâte Feuilletée nous entraînent dans de folles aventures dignes des meilleurs épisodes de la série Astérix. Cependant ce n'est qu'en 1958 que les lecteurs du journal Tintin découvriront, les premiers, notre sympathique héros. Comme pour Jehan Pistolet, l'histoire se déroule au XVIIIème siècle et met en confrontation la tribu des Shavashavas et les premiers européens qui découvrent le Nouveau Monde.
BD000039	OUMPAH PAH SUR LE SENTIER DE LA GUERRE - ET LES PIRATES - T2	8.54	8.99	GOSCINNY / UDERZO	HUMOUR	OUMPAH PAH	ALBERT RENÉ	HACHETTE	5030572	9782864970941	Né en 1951 de l'imagination délirante de René Goscinny et d'Albert Uderzo, Oumpah Pah et son complice Hubert de la Pâte Feuilletée nous entraînent dans de folles aventures dignes des meilleurs épisodes de la série Astérix. Cependant ce n'est qu'en 1958 que les lecteurs du journal Tintin découvriront, les premiers, notre sympathique héros. Comme pour Jehan Pistolet, l'histoire se déroule au XVIIIème siècle et met en confrontation la tribu des Shavashavas et les premiers européens qui découvrent le Nouveau Monde.
BD000040	OUMPAH PAH - LA MISSION SECRETE - CONTRE FOIE MALADE - T3	8.54	8.99	GOSCINNY / UDERZO	HUMOUR	OUMPAH PAH	ALBERT RENÉ	HACHETTE	5030580	9782864970958	Né en 1951 de l'imagination délirante de René Goscinny et d'Albert Uderzo, Oumpah Pah et son complice Hubert de la Pâte Feuilletée nous entraînent dans de folles aventures dignes des meilleurs épisodes de la série Astérix. Cependant ce n'est qu'en 1958 que les lecteurs du journal Tintin découvriront, les premiers, notre sympathique héros. Comme pour Jehan Pistolet, l'histoire se déroule au XVIIIème siècle et met en confrontation la tribu des Shavashavas et les premiers européens qui découvrent le Nouveau Monde.
BD000041	CORSAIRE PRODIGIEUX - T1	7.82	8.23	GOSCINNY / UDERZO	HUMOUR	JEHAN PISTOLET	ALBERT RENÉ	HACHETTE	5030622	9782864971214	Editées pour la première fois en 1952, dans la Libre Junior, les aventures de Jehan Pistolet représentent l'œuvre de jeunesse de René Goscinny et d'Albert Uderzo. Elles préfigurent déjà, 7 ans avant Astérix, l'humour caractéristique de nos deux auteurs. Les deux séries cohabiteront d'ailleurs en 1960 dans le magazine Pilote. L'histoire se déroule au XVIIIème siècle où un groupe d'amis décide de se lancer dans l'Aventure en devenant corsaires. Humour et action sont au rendez-vous tout au long de ces albums.
BD000042	CORSAIRE DU ROY - T2	7.82	8.23	GOSCINNY / UDERZO	HUMOUR	JEHAN PISTOLET	ALBERT RENÉ	HACHETTE	5030630	9782864971207	Editées pour la première fois en 1952, dans la Libre Junior, les aventures de Jehan Pistolet représentent l'œuvre de jeunesse de René Goscinny et d'Albert Uderzo. Elles préfigurent déjà, 7 ans avant Astérix, l'humour caractéristique de nos deux auteurs. Les deux séries cohabiteront d'ailleurs en 1960 dans le magazine Pilote. L'histoire se déroule au XVIIIème siècle où un groupe d'amis décide de se lancer dans l'Aventure en devenant corsaires. Humour et action sont au rendez-vous tout au long de ces albums.
BD000043	JEHAN PISTOLET ET L'ESPION - T3	7.82	8.23	GOSCINNY / UDERZO	HUMOUR	JEHAN PISTOLET	ALBERT RENÉ	HACHETTE	5030648	9782864971269	Editées pour la première fois en 1952, dans la Libre Junior, les aventures de Jehan Pistolet représentent l'œuvre de jeunesse de René Goscinny et d'Albert Uderzo. Elles préfigurent déjà, 7 ans avant Astérix, l'humour caractéristique de nos deux auteurs. Les deux séries cohabiteront d'ailleurs en 1960 dans le magazine Pilote. L'histoire se déroule au XVIIIème siècle où un groupe d'amis décide de se lancer dans l'Aventure en devenant corsaires. Humour et action sont au rendez-vous tout au long de ces albums.
BD000044	SOMBRES DESTINS	11.44	12.04	ABULI / OSWAL			ALBIN MICHEL	HACHETTE	6052260	9782226095930	
BD000045	SNAKE DOUBLE PAIRE	9.99	10.52	ABULI / BERNET	HUMOUR	SNAKE	ALBIN MICHEL	HACHETTE	6052427	9782226106292	
BD000046	LES MISERES DE LA VIE DE BUREAU - T1	11.44	12.04	ADAMS	HUMOUR	DILBERT	ALBIN MICHEL	HACHETTE	6052237	9782226095527	
BD000047	BIENVENUE DANS LE MONDE MERVEILLEUX DE L'INFORMATIQUE - T2	11.44	12.04	ADAMS	HUMOUR	DILBERT	ALBIN MICHEL	HACHETTE	6052294	9782226099549	
BD000048	COMMENT DEVENIR CHEF A LA PLACE DU CHEF - T3	11.44	12.04	ADAMS	HUMOUR	DILBERT	ALBIN MICHEL	HACHETTE	6052377	9782226104526	
BD000049	LES NOUVELLES MISERES DE LA VIE DE BUREAU - T4	11.44	12.04	ADAMS	HUMOUR	DILBERT	ALBIN MICHEL	HACHETTE	6052500	9782226106841	
BD000050	Y A-T-IL UNE VIE APRES LE BUREAU - T5	11.44	12.04	ADAMS	HUMOUR	DILBERT	ALBIN MICHEL	HACHETTE	6052609	9782226107497	
BD000051	LE PETIT MONDE DE PETASSINE	11.44	12.04	AMOURIQ	ÉROTIQUE	PETASSINE	ALBIN MICHEL	HACHETTE	6051403	9782226056757	POUR ADULTES
BD000052	LES FURIES	11.3	11.89	ARNON	HUMOUR	LES FURIES	ALBIN MICHEL	HACHETTE	6051932	9782226079411	Femmes fatales et pirates sanguinaires, îles désertes et fabuleux trésor, odeurs de poudre, de sexe et de bagarre... Avec ARNON et ses Furies, vivez la plus fabuleuse légende de tous les temps : la grande piraterie sous le soleil des Caraïbes... Mais assez perdu de temps : à l'abordage !
BD000053	NEANDERTHAL GIRLS	11.3	11.89	ARNON	HUMOUR	COEURS DE SILEX	ALBIN MICHEL	HACHETTE	6052161	9782226094674	
BD000054	QU'EST CE QU'ELLES ONT LES FILLES	8.54	8.99	AUTHEMAN	HUMOUR		ALBIN MICHEL	HACHETTE	6051429	9782226056771	Gisèle, Olga, Elvire, Paméla... Elles sont toutes super, mais quelles embrouilles en perspective !
BD000055	DERANGEZ PAS MEME	9.41	9.91	AUTHEMAN	HUMOUR		ALBIN MICHEL	HACHETTE	6051759	9782226076137	AUTHEMAN poursuit l'exploration de l'éternel féminin. Décapant !
BD000056	L'OMBRE DE MOI MEME	11.44	12.04	AUTHEMAN	HUMOUR		ALBIN MICHEL	HACHETTE	6055164	9782226107527	Suite de situations insolites et amusantes, puisque le héros de ce recueil est perpetuellement suivi par son ombre !
BD000057	COURS CAMARADE	8.26	8.69	BARU	HUMOUR		ALBIN MICHEL	HACHETTE	6051049	9782226031686	
BD000058	LA PISCINE DE MICHEVILLE	9.99	10.52	BARU	HUMOUR		ALBIN MICHEL	HACHETTE	6051643	9782226065636	
BD000059	ET DIEU CREA EVE AH OUI ADAM AUSSI	9.99	10.52	BERCOVICI / JAGER	HUMOUR	ET DIEU CREA EVE	ALBIN MICHEL	HACHETTE	6052179	9782226094681	
BD000060	LEON LA TERREUR	7.53	7.93	BOOGAARD / SCHIPPERS	HUMOUR	LEON LA TERREUR	ALBIN MICHEL	HACHETTE	6003602	9782226016744	
BD000061	LEON LA TERREUR S'EN BALANCE	7.53	7.93	BOOGAARD / SCHIPPERS	HUMOUR	LEON LA TERREUR	ALBIN MICHEL	HACHETTE	6050934	9782226025845	
BD000062	LEON LA TERREUR FAIT DES VAGUES	7.1	7.93	BOOGAARD / SCHIPPERS	HUMOUR	LEON LA TERREUR	ALBIN MICHEL	HACHETTE	6051031	9782226031730	
BD000063	LEON LA TERREUR CASSE LA BARAQUE	8.26	8.69	BOOGAARD / SCHIPPERS	HUMOUR	LEON LA TERREUR	ALBIN MICHEL	HACHETTE	6051304	9782226048875	
BD000064	LE MEILLEUR DE LEON LA TERREUR - BEST OF	27.52	28.97	BOOGAARD / SCHIPPERS	HUMOUR	LEON LA TERREUR	ALBIN MICHEL	HACHETTE	6051940	9782226085153	
BD000065	LES ANNEES PATTES D'EPH	9.99	10.52	CABANES	HUMOUR		ALBIN MICHEL	HACHETTE	6051528	9782226060013	
BD000066	BOUQUET DE FLIRTS	10.86	11.43	CABANES	HUMOUR		ALBIN MICHEL	HACHETTE	6051924	9782226085504	
BD000067	LE GROS BLOND AVEC SA CHEMISE NOIRE	8.26	8.69	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6017222	9782226031679	
BD000068	TONTON ACCRO	8.26	8.69	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6017420	9782226031709	
BD000069	A CONSOMMER AVEC MODERATION	8.26	8.69	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6018964	9782226035547	
BD000070	CABU AU CANARD ENCHAINE	9.99	10.52	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6019624	9782226035721	
BD000071	MORT AUX VIEUX	8.26	8.69	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6019673	9782226035745	
BD000072	LES INTERDITS DE CABU	11.59	12.2	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6020796	9782226037398	
BD000073	LES ABRUTIS SONT PARMI NOUS	12.89	13.57	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6023303	9782226052896	
BD000074	TONTON LA TERREUR	8.54	8.99	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6023345	9782226053220	
BD000075	ADIEU TONTON	8.54	8.99	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6051478	9782226059109	
BD000076	RESPONSABLES MAIS PAS COUPABLES	8.54	8.99	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6051544	9782226061812	
BD000077	SECRETS D'ETAT	12.31	12.96	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6028286	9782226061928	
BD000078	A VOTRE BON COEUR L'ABBE PIERRE CHEZ LES EXCLUS	9.99	10.52	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6051809	9782226077875	
BD000079	LES AVENTURES EPATANTES DE JACQUES CHIRAC	9.99	10.52	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6051965	9782226087034	
BD000080	SHOWBIZ	7.1	7.93	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6014195	9782226022936	
BD000081	LE RETOUR DU GROS BLOND	9.99	10.52	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6052112	9782226093677	
BD000082	LE MEILLEUR DU GRAND DUDUCHE	14.19	14.94	CABU	HUMOUR	GRAND DUDUCHE	ALBIN MICHEL	HACHETTE	6052476	9782226105578	
BD000083	VAS Y JOSPIN	9.99	10.52	CABU	HUMOUR		ALBIN MICHEL	HACHETTE	6052526	9782226107329	
BD000084	QUATRE PUNAISES AU CLUB	9.41	9.91	CESTAC / EDITH / DODO / ROQUES	HUMOUR		ALBIN MICHEL	HACHETTE	6051833	9782226078315	
BD000085	AMNESTY INTERNATIONAL AU SECOURS	12.89	13.57	COLLECTIF		AMNESTY INTERNATIONAL	ALBIN MICHEL	HACHETTE	6029409	9782226065483	
BD000086	VIVE LE FOOT	11.3	11.89	COLLECTIF	HUMOUR		ALBIN MICHEL	HACHETTE	239503	9782226100832	
BD000087	VENUS A LA FOURRURE	13.03	13.72	CREPAX	ÉROTIQUE	VENUS	ALBIN MICHEL	HACHETTE	6000277	9782226022776	
BD000088	ANITA 88	13.76	14.48	CREPAX	ÉROTIQUE	ANITA	ALBIN MICHEL	HACHETTE	6002109	9782226031563	
BD000089	ANITA EN DIRECT	10.86	11.43	CREPAX	ÉROTIQUE	ANITA	ALBIN MICHEL	HACHETTE	6018923	9782226034120	
BD000090	MES FEMMES	13.76	14.48	CRUMB	HUMOUR		ALBIN MICHEL	HACHETTE	6020440	9782226037312	Rondes, géantes, pulpeuses, dotées d'attributs digne des Vénus préhistoriques et d'un appêtit littéralement dévorant, telles sont les femmes de CRUMB.
BD000091	BELLE D'UN JOUR	9.99	10.52	CRUMB	HUMOUR		ALBIN MICHEL	HACHETTE	6051213	9782226037428	Anciens babas, nouveaux paumés, mais tous reconvertis à l'arrivisme et au yuppisme triomphant. Voici le monde de Belle, dont elle est le centre et le plus beau fleuron. Tout est bon pour Belle pour se faire valoir dans la course à la réussite sociale.
BD000092	PLUS MORTS QUE VIVANTS - T1	8.54	8.99	DAVIS	FANTASTIQUE	TALES FROM THE CRYPT	ALBIN MICHEL	HACHETTE	6052591	9782226107961	
BD000093	QUI A PEUR DU GRAND MECHANT LOUP - T2	8.54	8.99	DAVIS	FANTASTIQUE	TALES FROM THE CRYPT	ALBIN MICHEL	HACHETTE	6052534	9782226107978	
BD000094	L'OMBRE AUX TABLEAUX	9.99	10.52	DENIS	AVENTURE		ALBIN MICHEL	HACHETTE	6051338	9782226051608	
BD000095	BONBON PIMENT	11.44	12.04	DENIS	AVENTURE	BONBON PIMENT	ALBIN MICHEL	HACHETTE	6024178	9782226055590	
BD000096	LE PELICAN	9.99	10.52	DENIS	AVENTURE	LE PELICAN	ALBIN MICHEL	HACHETTE	6051692	9782226074652	
BD000097	DROLES D'OISIFS	9.41	9.91	DENIS	AVENTURE	DROLES D'OISIFS	ALBIN MICHEL	HACHETTE	6051866	9782226078704	
BD000098	ANIMAL LES AVENTURES D'ANDRE LE CORBEAU	17.6	18.29	DENIS	AVENTURE	ANDRE LE CORBEAU	ALBIN MICHEL	HACHETTE	6052195	9782226094704	
BD000099	LES SEPT PECHES CAPITAUX	11.3	11.89	DENIS	AVENTURE		ALBIN MICHEL	HACHETTE	6052328	9782226100504	
BD000100	KALEUNT	8.26	8.69	DIMITRI	AVENTURE	KALEUNT	ALBIN MICHEL	HACHETTE	6051064	9782226031723	
BD000101	RASPOUTITSA	9.99	10.52	DIMITRI	AVENTURE	RASPOUTITSA	ALBIN MICHEL	HACHETTE	6020333	9782226037305	
BD000102	LES ZOMES - T3	9.41	9.91	DIMITRI	HUMOUR	LE GOULAG	ALBIN MICHEL	HACHETTE	6002117	9782226020550	
BD000103	LES POURRIS - T5	8.54	8.99	DIMITRI	HUMOUR	LE GOULAG	ALBIN MICHEL	HACHETTE	6003222	9782226016461	
BD000104	LE MATCH DU SIECLE - T6	8.54	8.99	DIMITRI	HUMOUR	LE GOULAG	ALBIN MICHEL	HACHETTE	6005029	9782226021304	
BD000105	TOVARITCH SOURIRE - T9	9.41	9.91	DIMITRI	HUMOUR	LE GOULAG	ALBIN MICHEL	HACHETTE	6019095	9782226035585	
BD000106	LA BELLE - T10	9.99	10.52	DIMITRI	HUMOUR	LE GOULAG	ALBIN MICHEL	HACHETTE	6022222	9782226048806	
BD000107	EXOCET NOUS VOILA - T11	9.99	10.52	DIMITRI	HUMOUR	LE GOULAG	ALBIN MICHEL	HACHETTE	6024186	9782226055613	
BD000108	HALTE A LA VISCERE - T12	9.99	10.52	DIMITRI	HUMOUR	LE GOULAG	ALBIN MICHEL	HACHETTE	6026165	9782226059932	
BD000109	GOMINA LE POINT DU JOUR	7.1	7.93	DODO / BEN RADIS	HUMOUR	GOMINA	ALBIN MICHEL	HACHETTE	6051023	9782226029768	
BD000110	Y A DE L'AMOUR	11.3	11.89	DODO / BEN RADIS	HUMOUR	MAX ET NINA	ALBIN MICHEL	HACHETTE	6052211	9782226095336	
BD000111	SALAMMBO L'INTEGRALE	27.52	28.97	DRUILLET	AVENTURE	SALAMMBO	ALBIN MICHEL	HACHETTE	6051999	9782226106407	
BD000112	JAMAIS DEUX SANS TROIS	9.99	10.52	FLOC'H / FROMENTAL	AVENTURE		ALBIN MICHEL	HACHETTE	6051346	9782226052889	
BD000113	BLITZ - T1	11.3	11.89	FLOC'H / RIVIERE	AVENTURE	BLITZ	ALBIN MICHEL	HACHETTE	6037691	9782226088680	
BD000114	UNDERGROUND - T2	11.3	11.89	FLOC'H / RIVIERE	AVENTURE	BLITZ	ALBIN MICHEL	HACHETTE	6052021	9782226088482	
BD000115	LES CELIBATAIRES	11.44	12.04	FREMOND	HUMOUR	LES CELIBATAIRES	ALBIN MICHEL	HACHETTE	6023956	9782226053824	
BD000116	PINOCCHIA	10.86	11.43	GIBRAT / LEROI	ÉROTIQUE	PINOCCHIA	ALBIN MICHEL	HACHETTE	6051890	9782226080028	Et si Pinocchio était une fille ? Et si la poupée de bois prenait corps ? Et quel corps ! Et si elle n'était pas si innocente que ça ? Et si ça devenait un nouveau conte de fées, mais pour adultes avertis, cette fois-ci ?...
BD000117	LA SEVE ET LE SANG	9.99	10.52	GILLON	AVENTURE	JEHANNE	ALBIN MICHEL	HACHETTE	6051668	9782226065766	
BD000118	JEHANNE LA PUCELLE	17.36	18.29	GILLON	AVENTURE	JEHANNE	ALBIN MICHEL	HACHETTE	6052138	9782226094162	Il était une fois, ce jour de juin 1426 en royaume de France, une bergère, Jehanne, rêveuse fière et hardie. Adaptation libre de la légende de cette héroïne nationale.
BD000119	LA SURVIVANTE - T1	8.54	8.99	GILLON	AVENTURE	LA SURVIVANTE	ALBIN MICHEL	HACHETTE	6050926	9782226022929	
BD000120	L'ULTIMATUM - T4	8.54	8.99	GILLON	AVENTURE	LA SURVIVANTE	ALBIN MICHEL	HACHETTE	6051379	9782226055644	La Terre est ravagée par l'Apocalypse. Seuls survivent Aude, son fils Jonas et des robots sadiques, prêts à tout pour extirper des derniers humains le condensé de leurs sensations les plus profondes. Avec l'Ultimatum, quatrième et dernier volume de cette fresque post-atomique, Paul GILLON achève sa parabole sur la déshumanisation de notre monde.
